long road,21,0.225,0.0252,0.18086,0.01888
2005 2007,15,0.21886,0.00772,0.20738,0.00376
mice men,19,0.24706,0.04044,0.20552,0.00108
pro nej,14,0.32462,0.02462,0.2989,0.00108
live tour,56,0.288,0.02494,0.24248,0.0206
jaromir nohavica,3,0.48014,0.13768,0.34216,0.00032
ovoce,167,0.38284,0.0268,0.3331,0.02292
s nami,70,0.28018,0.01936,0.2399,0.02088
znami lide,2,0.34718,0.03842,0.30846,0.00024
repeat,1048,0.53148,0.13558,0.3524,0.04348
o vikendu,3,0.4522,0.05248,0.39938,0.00034
godfather,95,0.45594,0.0561,0.37886,0.02098
kriminalka,152,0.45432,0.09424,0.33752,0.02256
kukacci hnizdo,4,0.72256,0.25616,0.46606,0.00034
ctvrtek patek,5,0.89724,0.19724,0.69962,0.00044
epizoda 3,33,0.44102,0.05154,0.38766,0.0018
za pultem,9,0.84004,0.19256,0.64688,0.00064
praha,3443,1.0046,0.1063,0.79818,0.1001
dalnice,957,1.00466,0.13896,0.82184,0.04388
krasneho srnce,2,1.10774,0.20004,0.90746,0.00024
