long road,21,0.22612,0.02546,0.18182,0.01884
2005 2007,15,0.22646,0.00784,0.21486,0.00376
mice men,19,0.24526,0.0407,0.20346,0.0011
pro nej,14,0.24328,0.01894,0.22348,0.00086
live tour,56,0.29692,0.02492,0.25144,0.02056
jaromir nohavica,3,0.48414,0.13912,0.3447,0.00032
ovoce,167,0.37678,0.02648,0.32754,0.02278
s nami,70,0.27146,0.01934,0.23112,0.021
znami lide,2,0.4802,0.0504,0.4295,0.00024
repeat,1048,0.69964,0.17654,0.47098,0.05214
o vikendu,3,0.4413,0.0534,0.3876,0.00034
godfather,95,0.4401,0.05554,0.36362,0.02098
kriminalka,152,0.45636,0.09354,0.3408,0.02202
kukacci hnizdo,4,0.67818,0.2285,0.44926,0.0004
ctvrtek patek,5,0.89748,0.19424,0.70282,0.00044
epizoda 3,33,0.44548,0.05238,0.3913,0.0018
za pultem,9,0.8476,0.18914,0.6578,0.00064
praha,3443,0.9998,0.10474,0.79902,0.09602
dalnice,957,0.9663,0.13672,0.78986,0.03972
krasneho srnce,2,1.06864,0.18352,0.88488,0.00024
