long road,21,0.0638,0.0542,0.0057,0.0032
2005 2007,15,0.0302,0.01795,0.008,0.0033
mice men,19,0.0642,0.0535,0.0077,0.0029
pro nej,14,0.05325,0.0403,0.0101,0.0028
live tour,56,0.06805,0.05225,0.0082,0.0068
jaromir nohavica,3,0.14985,0.1358,0.0133,0.0008
ovoce,167,0.07895,0.05885,0.012,0.0069
s nami,70,0.05835,0.0423,0.00765,0.00615
znami lide,2,0.0879,0.07775,0.0094,0.0005
repeat,1048,0.13545,0.1151,0.0112,0.0089
o vikendu,3,0.12625,0.1101,0.0152,0.0008
godfather,95,0.0805,0.05825,0.0139,0.0083
kriminalka,152,0.11015,0.08685,0.0131,0.0101
kukacci hnizdo,4,0.1327,0.1176,0.0143,0.0008
ctvrtek patek,5,0.24145,0.2198,0.0207,0.0009
epizoda 3,33,0.05355,0.03615,0.0127,0.0047
za pultem,9,0.1437,0.12135,0.0209,0.0015
praha,3443,0.2726,0.21475,0.0329,0.025
dalnice,957,0.11915,0.08675,0.0229,0.0095
krasneho srnce,2,0.30385,0.27615,0.0273,0.0005
