long road,21,0.2284,0.02506,0.1844,0.01888
2005 2007,15,0.21672,0.00774,0.20522,0.00376
mice men,19,0.25642,0.04074,0.21456,0.00108
pro nej,14,0.24536,0.01868,0.22586,0.00086
live tour,56,0.28046,0.02494,0.23492,0.0206
jaromir nohavica,3,0.47248,0.1355,0.33674,0.00032
ovoce,167,0.37808,0.02644,0.3288,0.02288
s nami,70,0.27408,0.01928,0.23386,0.02092
znami lide,2,0.46636,0.05074,0.41536,0.00024
repeat,1048,0.526,0.1331,0.35134,0.04158
o vikendu,3,0.44624,0.05256,0.3934,0.00034
godfather,95,0.4504,0.05612,0.37326,0.02102
kriminalka,152,0.4565,0.09412,0.3404,0.02198
kukacci hnizdo,4,0.69882,0.23288,0.46556,0.00038
ctvrtek patek,5,1.17638,0.25404,0.92182,0.00054
epizoda 3,33,0.43292,0.05206,0.37906,0.0018
za pultem,9,0.98122,0.22402,0.75648,0.00074
praha,3443,1.01642,0.10518,0.81564,0.09562
dalnice,957,0.97746,0.13798,0.79956,0.03994
krasneho srnce,2,1.08908,0.18808,0.90076,0.00024
