long road,21,0.08135,0.0689,0.0072,0.0041
2005 2007,15,0.02965,0.01785,0.0077,0.0032
mice men,19,0.0637,0.053,0.0077,0.0029
pro nej,14,0.04185,0.03165,0.0079,0.0022
live tour,56,0.0682,0.0527,0.0082,0.0068
jaromir nohavica,3,0.15765,0.14835,0.0087,0.0007
ovoce,167,0.06185,0.046,0.0093,0.00535
s nami,70,0.07455,0.0541,0.0094,0.0083
znami lide,2,0.08805,0.0776,0.0096,0.0005
repeat,1048,0.13405,0.1147,0.0102,0.0091
o vikendu,3,0.0999,0.0868,0.0124,0.0007
godfather,95,0.0788,0.0578,0.0129,0.0082
kriminalka,152,0.1417,0.1121,0.0164,0.0131
kukacci hnizdo,4,0.1688,0.1505,0.0173,0.001
ctvrtek patek,5,0.23795,0.2186,0.0184,0.0009
epizoda 3,33,0.07105,0.04675,0.0185,0.0062
za pultem,9,0.14705,0.1216,0.0238,0.0015
praha,3443,0.21465,0.16985,0.0248,0.02
dalnice,957,0.14825,0.10935,0.0269,0.0118
krasneho srnce,2,0.30345,0.2757,0.0271,0.0005
